Stop / sbottom mass (GeV) 	Cross section (pb) 	± Uncertainty
2265 	7.523E-06 	45.69 %
2270 	7.345E-06 	46.03 %
2275 	7.171E-06 	46.37 %
2280 	7.001E-06 	46.72 %
2285 	6.836E-06 	47.06 %
2290 	6.674E-06 	47.41 %
2295 	6.516E-06 	47.76 %
2300 	6.363E-06 	48.11 %
2305 	6.213E-06 	48.46 %
2310 	6.066E-06 	48.81 %
2315 	5.923E-06 	49.17 %
2320 	5.783E-06 	49.53 %
2325 	5.647E-06 	49.89 %
2330 	5.514E-06 	50.25 %
2335 	5.385E-06 	50.62 %
2340 	5.258E-06 	50.98 %
2345 	5.134E-06 	51.35 %
2350 	5.014E-06 	51.73 %
2355 	4.896E-06 	52.10 %
2360 	4.781E-06 	52.48 %
2365 	4.669E-06 	52.85 %
2370 	4.560E-06 	53.23 %
2375 	4.453E-06 	53.62 %
2380 	4.349E-06 	54.00 %
2385 	4.247E-06 	54.39 %
2390 	4.148E-06 	54.78 %
2395 	4.051E-06 	55.17 %
2400 	3.957E-06 	55.56 %
2405 	3.865E-06 	55.96 %
2410 	3.775E-06 	56.36 %
2415 	3.687E-06 	56.76 %
2420 	3.601E-06 	57.16 %
2425 	3.517E-06 	57.56 %
2430 	3.436E-06 	57.97 %
2435 	3.356E-06 	58.38 %
2440 	3.278E-06 	58.79 %
2445 	3.202E-06 	59.20 %
2450 	3.128E-06 	59.62 %
2455 	3.055E-06 	60.04 %
2460 	2.985E-06 	60.46 %
2465 	2.915E-06 	60.88 %
2470 	2.848E-06 	61.31 %
2475 	2.782E-06 	61.74 %
2480 	2.718E-06 	62.17 %
2485 	2.655E-06 	62.60 %
2490 	2.594E-06 	63.04 %
2495 	2.534E-06 	63.48 %
2500 	2.476E-06 	63.92 %
2505 	2.419E-06 	64.36 %
2510 	2.363E-06 	64.80 %
2515 	2.309E-06 	65.25 %
2520 	2.255E-06 	65.70 %
2525 	2.204E-06 	66.15 %
2530 	2.153E-06 	66.60 %
2535 	2.103E-06 	67.06 %
2540 	2.055E-06 	67.52 %
2545 	2.008E-06 	67.99 %
2550 	1.962E-06 	68.45 %
2555 	1.917E-06 	68.92 %
2560 	1.873E-06 	69.40 %
2565 	1.830E-06 	69.88 %
2570 	1.788E-06 	70.36 %
2575 	1.747E-06 	70.84 %
2580 	1.707E-06 	71.33 %
2585 	1.668E-06 	71.83 %
2590 	1.630E-06 	72.33 %
2595 	1.593E-06 	72.83 %
2600 	1.556E-06 	73.33 %
2605 	1.521E-06 	73.86 %
2610 	1.486E-06 	74.38 %
2615 	1.452E-06 	74.91 %
2620 	1.419E-06 	75.45 %
2625 	1.387E-06 	75.99 %
2630 	1.355E-06 	76.53 %
2635 	1.324E-06 	77.07 %
2640 	1.294E-06 	77.62 %
2645 	1.265E-06 	78.17 %
2650 	1.236E-06 	78.73 %
2655 	1.208E-06 	79.29 %
2660 	1.180E-06 	79.85 %
2665 	1.153E-06 	80.42 %
2670 	1.127E-06 	80.98 %
2675 	1.102E-06 	81.55 %
2680 	1.077E-06 	82.13 %
2685 	1.052E-06 	82.70 %
2690 	1.028E-06 	83.28 %
2695 	1.005E-06 	83.86 %
2700 	9.821E-07 	84.44 %
2705 	9.598E-07 	85.02 %
2710 	9.380E-07 	85.59 %
2715 	9.167E-07 	86.17 %
2720 	8.959E-07 	86.75 %
2725 	8.756E-07 	87.33 %
2730 	8.557E-07 	87.91 %
2735 	8.363E-07 	88.50 %
2740 	8.173E-07 	89.09 %
2745 	7.988E-07 	89.68 %
2750 	7.807E-07 	90.28 %
2755 	7.630E-07 	90.87 %
2760 	7.458E-07 	91.47 %
2765 	7.289E-07 	92.08 %
2770 	7.124E-07 	92.69 %
2775 	6.963E-07 	93.30 %
2780 	6.805E-07 	93.91 %
2785 	6.651E-07 	94.53 %
2790 	6.501E-07 	95.15 %
2795 	6.354E-07 	95.77 %
2800 	6.211E-07 	96.40 %
2805 	6.071E-07 	97.02 %
2810 	5.934E-07 	97.65 %
2815 	5.801E-07 	98.28 %
2820 	5.670E-07 	98.92 %
2825 	5.543E-07 	99.56 %
2830 	5.418E-07 	100.21 %
2835 	5.296E-07 	100.86 %
2840 	5.177E-07 	101.51 %
2845 	5.061E-07 	102.17 %
2850 	4.947E-07 	102.84 %
2855 	4.836E-07 	103.51 %
2860 	4.728E-07 	104.19 %
2865 	4.622E-07 	104.87 %
2870 	4.518E-07 	105.56 %
2875 	4.417E-07 	106.25 %
2880 	4.318E-07 	106.95 %
2885 	4.221E-07 	107.66 %
2890 	4.127E-07 	108.37 %
2895 	4.034E-07 	109.09 %
2900 	3.944E-07 	109.82 %
2905 	3.855E-07 	110.55 %
2910 	3.769E-07 	111.29 %
2915 	3.685E-07 	112.04 %
2920 	3.602E-07 	112.79 %
2925 	3.522E-07 	113.56 %
2930 	3.443E-07 	114.33 %
2935 	3.366E-07 	115.11 %
2940 	3.290E-07 	115.89 %
2945 	3.217E-07 	116.69 %
2950 	3.145E-07 	117.49 %
2955 	3.074E-07 	118.31 %
2960 	3.005E-07 	119.13 %
2965 	2.938E-07 	119.96 %
2970 	2.872E-07 	120.80 %
2975 	2.808E-07 	121.65 %
2980 	2.745E-07 	122.51 %
2985 	2.684E-07 	123.37 %
2990 	2.624E-07 	124.25 %
2995 	2.565E-07 	125.14 %
3000 	2.507E-07 	126.04 % 
