mStop,xsec_pb,uncertainty_percent,uncertainty_relative,uncertainty_up_relative,uncertainty_down_relative,source_file,parsing_status
1395,0.0007184,13.5,0.135,0.135,0.135,signal_xsec.txt,parsed
1400,0.0006976,13.59,0.1359,0.1359,0.1359,signal_xsec.txt,parsed
1405,0.0006774,13.68,0.1368,0.1368,0.1368,signal_xsec.txt,parsed
1410,0.0006578,13.77,0.1377,0.1377,0.1377,signal_xsec.txt,parsed
1415,0.0006388,13.86,0.1386,0.1386,0.1386,signal_xsec.txt,parsed
1420,0.0006204,13.95,0.13949999999999999,0.13949999999999999,0.13949999999999999,signal_xsec.txt,parsed
1425,0.0006025,14.04,0.1404,0.1404,0.1404,signal_xsec.txt,parsed
1430,0.0005852,14.14,0.1414,0.1414,0.1414,signal_xsec.txt,parsed
1435,0.0005684,14.23,0.1423,0.1423,0.1423,signal_xsec.txt,parsed
1440,0.0005522,14.32,0.1432,0.1432,0.1432,signal_xsec.txt,parsed
1445,0.0005364,14.42,0.1442,0.1442,0.1442,signal_xsec.txt,parsed
1450,0.0005211,14.51,0.1451,0.1451,0.1451,signal_xsec.txt,parsed
1455,0.0005063,14.61,0.1461,0.1461,0.1461,signal_xsec.txt,parsed
1460,0.0004919,14.71,0.1471,0.1471,0.1471,signal_xsec.txt,parsed
1465,0.0004779,14.81,0.1481,0.1481,0.1481,signal_xsec.txt,parsed
1470,0.0004644,14.9,0.149,0.149,0.149,signal_xsec.txt,parsed
1475,0.0004512,15.0,0.15,0.15,0.15,signal_xsec.txt,parsed
1480,0.0004385,15.1,0.151,0.151,0.151,signal_xsec.txt,parsed
1485,0.0004261,15.2,0.152,0.152,0.152,signal_xsec.txt,parsed
1490,0.0004141,15.31,0.1531,0.1531,0.1531,signal_xsec.txt,parsed
1495,0.0004025,15.41,0.15410000000000001,0.15410000000000001,0.15410000000000001,signal_xsec.txt,parsed
1500,0.0003912,15.51,0.1551,0.1551,0.1551,signal_xsec.txt,parsed
1505,0.0003803,15.61,0.1561,0.1561,0.1561,signal_xsec.txt,parsed
1510,0.0003696,15.72,0.1572,0.1572,0.1572,signal_xsec.txt,parsed
1515,0.0003593,15.82,0.1582,0.1582,0.1582,signal_xsec.txt,parsed
1520,0.0003493,15.92,0.1592,0.1592,0.1592,signal_xsec.txt,parsed
1525,0.0003396,16.03,0.1603,0.1603,0.1603,signal_xsec.txt,parsed
1530,0.0003302,16.13,0.1613,0.1613,0.1613,signal_xsec.txt,parsed
1535,0.000321,16.24,0.1624,0.1624,0.1624,signal_xsec.txt,parsed
1540,0.0003121,16.35,0.1635,0.1635,0.1635,signal_xsec.txt,parsed
1545,0.0003035,16.45,0.16449999999999998,0.16449999999999998,0.16449999999999998,signal_xsec.txt,parsed
1550,0.0002951,16.56,0.1656,0.1656,0.1656,signal_xsec.txt,parsed
1555,0.000287,16.67,0.16670000000000001,0.16670000000000001,0.16670000000000001,signal_xsec.txt,parsed
1560,0.0002791,16.78,0.1678,0.1678,0.1678,signal_xsec.txt,parsed
1565,0.0002714,16.89,0.1689,0.1689,0.1689,signal_xsec.txt,parsed
1570,0.000264,17.0,0.17,0.17,0.17,signal_xsec.txt,parsed
1575,0.0002568,17.12,0.17120000000000002,0.17120000000000002,0.17120000000000002,signal_xsec.txt,parsed
1580,0.0002498,17.23,0.1723,0.1723,0.1723,signal_xsec.txt,parsed
1585,0.0002429,17.35,0.17350000000000002,0.17350000000000002,0.17350000000000002,signal_xsec.txt,parsed
1590,0.0002363,17.46,0.1746,0.1746,0.1746,signal_xsec.txt,parsed
1595,0.0002299,17.58,0.17579999999999998,0.17579999999999998,0.17579999999999998,signal_xsec.txt,parsed
1600,0.0002236,17.7,0.177,0.177,0.177,signal_xsec.txt,parsed
1605,0.0002176,17.82,0.1782,0.1782,0.1782,signal_xsec.txt,parsed
1610,0.0002117,17.94,0.1794,0.1794,0.1794,signal_xsec.txt,parsed
1615,0.0002059,18.06,0.18059999999999998,0.18059999999999998,0.18059999999999998,signal_xsec.txt,parsed
1620,0.0002004,18.18,0.1818,0.1818,0.1818,signal_xsec.txt,parsed
1625,0.000195,18.3,0.183,0.183,0.183,signal_xsec.txt,parsed
1630,0.0001897,18.43,0.1843,0.1843,0.1843,signal_xsec.txt,parsed
1635,0.0001846,18.56,0.1856,0.1856,0.1856,signal_xsec.txt,parsed
1640,0.0001796,18.68,0.1868,0.1868,0.1868,signal_xsec.txt,parsed
1645,0.0001748,18.81,0.1881,0.1881,0.1881,signal_xsec.txt,parsed
1650,0.0001701,18.94,0.1894,0.1894,0.1894,signal_xsec.txt,parsed
1655,0.0001656,19.07,0.1907,0.1907,0.1907,signal_xsec.txt,parsed
1660,0.0001612,19.2,0.192,0.192,0.192,signal_xsec.txt,parsed
1665,0.0001569,19.33,0.19329999999999997,0.19329999999999997,0.19329999999999997,signal_xsec.txt,parsed
1670,0.0001527,19.46,0.1946,0.1946,0.1946,signal_xsec.txt,parsed
1675,0.0001486,19.6,0.196,0.196,0.196,signal_xsec.txt,parsed
1680,0.0001447,19.73,0.1973,0.1973,0.1973,signal_xsec.txt,parsed
